Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;147;-;-;147;-;-
Wählende;97;66,0 %;-;97;66,0 %;-
Ungültige Stimmen;3;3,1 %;-;3;3,1 %;-
Gültige Stimmen;94;96,9 %;-;94;96,9 %;-
SPD;15;16,0 %;-;8;8,5 %;-
AfD;43;45,7 %;-;36;38,3 %;-
CDU;27;28,7 %;-;20;21,3 %;-
GRÜNE/B 90;0;0,0 %;-;2;2,1 %;-
DIE LINKE;3;3,2 %;-;2;2,1 %;-
BVB / FREIE WÄHLER;3;3,2 %;-;3;3,2 %;-
FDP;3;3,2 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;7;7,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;15;16,0 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,1 %;-
WU;-;-;-;0;0,0 %;-
