Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;957;-;-;957;-;-
Ungültige Stimmen;6;0,6 %;-;2;0,2 %;-
Gültige Stimmen;951;99,4 %;-;955;99,8 %;-
SPD;250;26,3 %;-;262;27,4 %;-
AfD;191;20,1 %;-;169;17,7 %;-
CDU;216;22,7 %;-;170;17,8 %;-
GRÜNE/B 90;45;4,7 %;-;48;5,0 %;-
DIE LINKE;67;7,0 %;-;24;2,5 %;-
BVB / FREIE WÄHLER;171;18,0 %;-;79;8,3 %;-
FDP;11;1,2 %;-;13;1,4 %;-
Tierschutzpartei;-;-;-;33;3,5 %;-
Plus;-;-;-;8;0,8 %;-
BSW;-;-;-;144;15,1 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;1;0,1 %;-
