Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;934;-;-;934;-;-
Ungültige Stimmen;6;0,6 %;-;5;0,5 %;-
Gültige Stimmen;928;99,4 %;-;929;99,5 %;-
SPD;239;25,8 %;-;255;27,4 %;-
AfD;182;19,6 %;-;154;16,6 %;-
CDU;161;17,3 %;-;113;12,2 %;-
GRÜNE/B 90;32;3,4 %;-;62;6,7 %;-
DIE LINKE;65;7,0 %;-;41;4,4 %;-
BVB / FREIE WÄHLER;243;26,2 %;-;85;9,1 %;-
FDP;6;0,6 %;-;8;0,9 %;-
Tierschutzpartei;-;-;-;15;1,6 %;-
Plus;-;-;-;5;0,5 %;-
BSW;-;-;-;189;20,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;0;0,0 %;-
