Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;920;-;-;920;-;-
Ungültige Stimmen;14;1,5 %;-;11;1,2 %;-
Gültige Stimmen;906;98,5 %;-;909;98,8 %;-
SPD;249;27,5 %;-;252;27,7 %;-
AfD;154;17,0 %;-;144;15,8 %;-
CDU;361;39,8 %;-;308;33,9 %;-
GRÜNE/B 90;50;5,5 %;-;44;4,8 %;-
DIE LINKE;14;1,5 %;-;8;0,9 %;-
BVB / FREIE WÄHLER;53;5,8 %;-;21;2,3 %;-
FDP;14;1,5 %;-;17;1,9 %;-
Tierschutzpartei;-;-;-;24;2,6 %;-
Plus;-;-;-;11;1,2 %;-
BSW;-;-;-;66;7,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;1;0,1 %;-;1;0,1 %;-
DLW;-;-;-;7;0,8 %;-
WU;-;-;-;6;0,7 %;-
EB Schamberger;10;1,1 %;-;-;-;-
