Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;912;-;-;912;-;-
Ungültige Stimmen;3;0,3 %;-;3;0,3 %;-
Gültige Stimmen;909;99,7 %;-;909;99,7 %;-
SPD;296;32,6 %;-;311;34,2 %;-
AfD;123;13,5 %;-;111;12,2 %;-
CDU;240;26,4 %;-;164;18,0 %;-
GRÜNE/B 90;98;10,8 %;-;99;10,9 %;-
DIE LINKE;56;6,2 %;-;31;3,4 %;-
BVB / FREIE WÄHLER;81;8,9 %;-;18;2,0 %;-
FDP;15;1,7 %;-;15;1,7 %;-
Tierschutzpartei;-;-;-;26;2,9 %;-
Plus;-;-;-;10;1,1 %;-
BSW;-;-;-;118;13,0 %;-
III. Weg;-;-;-;2;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;3;0,3 %;-
