Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;325;-;-;325;-;-
Ungültige Stimmen;5;1,5 %;-;0;0,0 %;-
Gültige Stimmen;320;98,5 %;-;325;100,0 %;-
SPD;103;32,2 %;-;48;14,8 %;-
AfD;92;28,8 %;-;89;27,4 %;-
CDU;63;19,7 %;-;46;14,2 %;-
GRÜNE/B 90;15;4,7 %;-;34;10,5 %;-
DIE LINKE;29;9,1 %;-;24;7,4 %;-
BVB / FREIE WÄHLER;15;4,7 %;-;4;1,2 %;-
FDP;3;0,9 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;1;0,3 %;-
Plus;-;-;-;7;2,2 %;-
BSW;-;-;-;69;21,2 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
