Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;346;-;-;346;-;-
Ungültige Stimmen;5;1,4 %;-;3;0,9 %;-
Gültige Stimmen;341;98,6 %;-;343;99,1 %;-
SPD;143;41,9 %;-;138;40,2 %;-
AfD;76;22,3 %;-;51;14,9 %;-
CDU;52;15,2 %;-;36;10,5 %;-
GRÜNE/B 90;5;1,5 %;-;14;4,1 %;-
DIE LINKE;34;10,0 %;-;15;4,4 %;-
BVB / FREIE WÄHLER;29;8,5 %;-;4;1,2 %;-
FDP;2;0,6 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;4;1,2 %;-
Plus;-;-;-;4;1,2 %;-
BSW;-;-;-;74;21,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;0;0,0 %;-
