Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;879;-;-;879;-;-
Ungültige Stimmen;9;1,0 %;-;6;0,7 %;-
Gültige Stimmen;870;99,0 %;-;873;99,3 %;-
SPD;280;32,2 %;-;271;31,0 %;-
AfD;156;17,9 %;-;133;15,2 %;-
CDU;251;28,9 %;-;219;25,1 %;-
GRÜNE/B 90;45;5,2 %;-;53;6,1 %;-
DIE LINKE;29;3,3 %;-;19;2,2 %;-
BVB / FREIE WÄHLER;58;6,7 %;-;20;2,3 %;-
FDP;29;3,3 %;-;12;1,4 %;-
Tierschutzpartei;-;-;-;24;2,7 %;-
Plus;22;2,5 %;-;13;1,5 %;-
BSW;-;-;-;106;12,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;2;0,2 %;-
