Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;906;-;-;906;-;-
Ungültige Stimmen;13;1,4 %;-;6;0,7 %;-
Gültige Stimmen;893;98,6 %;-;900;99,3 %;-
SPD;381;42,7 %;-;300;33,3 %;-
AfD;118;13,2 %;-;107;11,9 %;-
CDU;163;18,3 %;-;129;14,3 %;-
GRÜNE/B 90;54;6,0 %;-;104;11,6 %;-
DIE LINKE;42;4,7 %;-;33;3,7 %;-
BVB / FREIE WÄHLER;73;8,2 %;-;21;2,3 %;-
FDP;17;1,9 %;-;8;0,9 %;-
Tierschutzpartei;-;-;-;24;2,7 %;-
Plus;45;5,0 %;-;26;2,9 %;-
BSW;-;-;-;140;15,6 %;-
III. Weg;-;-;-;2;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,3 %;-
WU;-;-;-;3;0,3 %;-
