Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;382;-;-;382;-;-
Ungültige Stimmen;7;1,8 %;-;3;0,8 %;-
Gültige Stimmen;375;98,2 %;-;379;99,2 %;-
SPD;178;47,5 %;-;113;29,8 %;-
AfD;114;30,4 %;-;98;25,9 %;-
CDU;41;10,9 %;-;54;14,2 %;-
GRÜNE/B 90;1;0,3 %;-;5;1,3 %;-
DIE LINKE;14;3,7 %;-;10;2,6 %;-
BVB / FREIE WÄHLER;17;4,5 %;-;4;1,1 %;-
FDP;5;1,3 %;-;4;1,1 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;83;21,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,8 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;5;1,3 %;-;-;-;-
