Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;623;-;-;623;-;-
Ungültige Stimmen;8;1,3 %;-;3;0,5 %;-
Gültige Stimmen;615;98,7 %;-;620;99,5 %;-
SPD;143;23,3 %;-;173;27,9 %;-
AfD;131;21,3 %;-;121;19,5 %;-
CDU;137;22,3 %;-;111;17,9 %;-
GRÜNE/B 90;10;1,6 %;-;11;1,8 %;-
DIE LINKE;80;13,0 %;-;33;5,3 %;-
BVB / FREIE WÄHLER;84;13,7 %;-;14;2,3 %;-
FDP;23;3,7 %;-;6;1,0 %;-
Tierschutzpartei;-;-;-;11;1,8 %;-
Plus;-;-;-;2;0,3 %;-
BSW;-;-;-;135;21,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;1;0,2 %;-
dieBasis;7;1,1 %;-;-;-;-
