Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;897;-;-;897;-;-
Ungültige Stimmen;10;1,1 %;-;4;0,4 %;-
Gültige Stimmen;887;98,9 %;-;893;99,6 %;-
SPD;251;28,3 %;-;252;28,2 %;-
AfD;155;17,5 %;-;139;15,6 %;-
CDU;223;25,1 %;-;160;17,9 %;-
GRÜNE/B 90;40;4,5 %;-;41;4,6 %;-
DIE LINKE;64;7,2 %;-;22;2,5 %;-
BVB / FREIE WÄHLER;131;14,8 %;-;52;5,8 %;-
FDP;3;0,3 %;-;4;0,4 %;-
Tierschutzpartei;-;-;-;16;1,8 %;-
Plus;20;2,3 %;-;5;0,6 %;-
BSW;-;-;-;198;22,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;1;0,1 %;-
