Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;736;-;-;736;-;-
Ungültige Stimmen;7;1,0 %;-;3;0,4 %;-
Gültige Stimmen;729;99,0 %;-;733;99,6 %;-
SPD;196;26,9 %;-;186;25,4 %;-
AfD;149;20,4 %;-;139;19,0 %;-
CDU;271;37,2 %;-;165;22,5 %;-
GRÜNE/B 90;12;1,6 %;-;21;2,9 %;-
DIE LINKE;42;5,8 %;-;17;2,3 %;-
BVB / FREIE WÄHLER;39;5,3 %;-;14;1,9 %;-
FDP;16;2,2 %;-;8;1,1 %;-
Tierschutzpartei;-;-;-;16;2,2 %;-
Plus;-;-;-;5;0,7 %;-
BSW;-;-;-;154;21,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;4;0,5 %;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;6;0,8 %;-
