Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;646;-;-;646;-;-
Ungültige Stimmen;6;0,9 %;-;3;0,5 %;-
Gültige Stimmen;640;99,1 %;-;643;99,5 %;-
SPD;191;29,8 %;-;177;27,5 %;-
AfD;136;21,2 %;-;124;19,3 %;-
CDU;127;19,8 %;-;106;16,5 %;-
GRÜNE/B 90;17;2,7 %;-;19;3,0 %;-
DIE LINKE;51;8,0 %;-;34;5,3 %;-
BVB / FREIE WÄHLER;79;12,3 %;-;22;3,4 %;-
FDP;15;2,3 %;-;3;0,5 %;-
Tierschutzpartei;-;-;-;25;3,9 %;-
Plus;24;3,8 %;-;15;2,3 %;-
BSW;-;-;-;112;17,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;4;0,6 %;-
WU;-;-;-;1;0,2 %;-
