Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;852;-;-;852;-;-
Ungültige Stimmen;11;1,3 %;-;4;0,5 %;-
Gültige Stimmen;841;98,7 %;-;848;99,5 %;-
SPD;319;37,9 %;-;244;28,8 %;-
AfD;121;14,4 %;-;101;11,9 %;-
CDU;163;19,4 %;-;133;15,7 %;-
GRÜNE/B 90;55;6,5 %;-;101;11,9 %;-
DIE LINKE;52;6,2 %;-;48;5,7 %;-
BVB / FREIE WÄHLER;66;7,8 %;-;22;2,6 %;-
FDP;18;2,1 %;-;11;1,3 %;-
Tierschutzpartei;-;-;-;23;2,7 %;-
Plus;47;5,6 %;-;32;3,8 %;-
BSW;-;-;-;127;15,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;4;0,5 %;-
WU;-;-;-;1;0,1 %;-
