Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;901;-;-;901;-;-
Ungültige Stimmen;6;0,7 %;-;4;0,4 %;-
Gültige Stimmen;895;99,3 %;-;897;99,6 %;-
SPD;290;32,4 %;-;314;35,0 %;-
AfD;202;22,6 %;-;170;19,0 %;-
CDU;250;27,9 %;-;163;18,2 %;-
GRÜNE/B 90;20;2,2 %;-;16;1,8 %;-
DIE LINKE;44;4,9 %;-;21;2,3 %;-
BVB / FREIE WÄHLER;76;8,5 %;-;27;3,0 %;-
FDP;13;1,5 %;-;6;0,7 %;-
Tierschutzpartei;-;-;-;24;2,7 %;-
Plus;-;-;-;5;0,6 %;-
BSW;-;-;-;143;15,9 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;5;0,6 %;-
WU;-;-;-;1;0,1 %;-
