Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;407;-;-;407;-;-
Ungültige Stimmen;3;0,7 %;-;1;0,2 %;-
Gültige Stimmen;404;99,3 %;-;406;99,8 %;-
SPD;144;35,6 %;-;154;37,9 %;-
AfD;87;21,5 %;-;71;17,5 %;-
CDU;97;24,0 %;-;58;14,3 %;-
GRÜNE/B 90;10;2,5 %;-;12;3,0 %;-
DIE LINKE;19;4,7 %;-;13;3,2 %;-
BVB / FREIE WÄHLER;13;3,2 %;-;8;2,0 %;-
FDP;5;1,2 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;11;2,7 %;-
Plus;6;1,5 %;-;1;0,2 %;-
BSW;-;-;-;73;18,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;4;1,0 %;-;1;0,2 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,2 %;-
Demokraten BB;19;4,7 %;-;-;-;-
