Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;736;-;-;736;-;-
Ungültige Stimmen;1;0,1 %;-;3;0,4 %;-
Gültige Stimmen;735;99,9 %;-;733;99,6 %;-
SPD;312;42,4 %;-;288;39,3 %;-
AfD;108;14,7 %;-;86;11,7 %;-
CDU;133;18,1 %;-;103;14,1 %;-
GRÜNE/B 90;12;1,6 %;-;15;2,0 %;-
DIE LINKE;84;11,4 %;-;27;3,7 %;-
BVB / FREIE WÄHLER;67;9,1 %;-;24;3,3 %;-
FDP;7;1,0 %;-;8;1,1 %;-
Tierschutzpartei;-;-;-;17;2,3 %;-
Plus;-;-;-;9;1,2 %;-
BSW;-;-;-;148;20,2 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;12;1,6 %;-;1;0,1 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;4;0,5 %;-
