Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;541;-;-;541;-;-
Ungültige Stimmen;10;1,8 %;-;1;0,2 %;-
Gültige Stimmen;531;98,2 %;-;540;99,8 %;-
SPD;195;36,7 %;-;203;37,6 %;-
AfD;114;21,5 %;-;81;15,0 %;-
CDU;125;23,5 %;-;85;15,7 %;-
GRÜNE/B 90;11;2,1 %;-;17;3,1 %;-
DIE LINKE;26;4,9 %;-;10;1,9 %;-
BVB / FREIE WÄHLER;53;10,0 %;-;13;2,4 %;-
FDP;7;1,3 %;-;8;1,5 %;-
Tierschutzpartei;-;-;-;3;0,6 %;-
Plus;-;-;-;6;1,1 %;-
BSW;-;-;-;108;20,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;6;1,1 %;-
