Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;476;-;-;476;-;-
Ungültige Stimmen;5;1,1 %;-;2;0,4 %;-
Gültige Stimmen;471;98,9 %;-;474;99,6 %;-
SPD;153;32,5 %;-;155;32,7 %;-
AfD;122;25,9 %;-;108;22,8 %;-
CDU;122;25,9 %;-;64;13,5 %;-
GRÜNE/B 90;14;3,0 %;-;10;2,1 %;-
DIE LINKE;-;-;-;9;1,9 %;-
BVB / FREIE WÄHLER;56;11,9 %;-;7;1,5 %;-
FDP;4;0,8 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;11;2,3 %;-
Plus;-;-;-;5;1,1 %;-
BSW;-;-;-;96;20,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;4;0,8 %;-
WU;-;-;-;1;0,2 %;-
