Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;147;-;-;147;-;-
Wählende;91;61,9 %;-;91;61,9 %;-
Ungültige Stimmen;2;2,2 %;-;0;0,0 %;-
Gültige Stimmen;89;97,8 %;-;91;100,0 %;-
SPD;50;56,2 %;-;48;52,7 %;-
AfD;12;13,5 %;-;14;15,4 %;-
CDU;13;14,6 %;-;11;12,1 %;-
GRÜNE/B 90;2;2,2 %;-;5;5,5 %;-
DIE LINKE;6;6,7 %;-;2;2,2 %;-
BVB / FREIE WÄHLER;3;3,4 %;-;3;3,3 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;6,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;2,2 %;-;1;1,1 %;-
WU;-;-;-;0;0,0 %;-
