Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;777;-;-;777;-;-
Ungültige Stimmen;11;1,4 %;-;6;0,8 %;-
Gültige Stimmen;766;98,6 %;-;771;99,2 %;-
SPD;295;38,5 %;-;277;35,9 %;-
AfD;112;14,6 %;-;98;12,7 %;-
CDU;162;21,1 %;-;120;15,6 %;-
GRÜNE/B 90;50;6,5 %;-;56;7,3 %;-
DIE LINKE;55;7,2 %;-;35;4,5 %;-
BVB / FREIE WÄHLER;53;6,9 %;-;20;2,6 %;-
FDP;21;2,7 %;-;13;1,7 %;-
Tierschutzpartei;-;-;-;24;3,1 %;-
Plus;-;-;-;15;1,9 %;-
BSW;-;-;-;107;13,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;8;1,0 %;-;0;0,0 %;-
DLW;-;-;-;4;0,5 %;-
WU;-;-;-;2;0,3 %;-
EB Schamberger;10;1,3 %;-;-;-;-
