Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;949;-;-;949;-;-
Ungültige Stimmen;10;1,1 %;-;3;0,3 %;-
Gültige Stimmen;939;98,9 %;-;946;99,7 %;-
SPD;274;29,2 %;-;321;33,9 %;-
AfD;241;25,7 %;-;198;20,9 %;-
CDU;219;23,3 %;-;166;17,5 %;-
GRÜNE/B 90;18;1,9 %;-;22;2,3 %;-
DIE LINKE;50;5,3 %;-;13;1,4 %;-
BVB / FREIE WÄHLER;85;9,1 %;-;32;3,4 %;-
FDP;10;1,1 %;-;6;0,6 %;-
Tierschutzpartei;22;2,3 %;-;12;1,3 %;-
Plus;-;-;-;8;0,8 %;-
BSW;-;-;-;159;16,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;20;2,1 %;-;7;0,7 %;-
WU;-;-;-;2;0,2 %;-
