Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;674;-;-;674;-;-
Ungültige Stimmen;8;1,2 %;-;4;0,6 %;-
Gültige Stimmen;666;98,8 %;-;670;99,4 %;-
SPD;229;34,4 %;-;230;34,3 %;-
AfD;168;25,2 %;-;143;21,3 %;-
CDU;100;15,0 %;-;73;10,9 %;-
GRÜNE/B 90;6;0,9 %;-;6;0,9 %;-
DIE LINKE;41;6,2 %;-;15;2,2 %;-
BVB / FREIE WÄHLER;56;8,4 %;-;17;2,5 %;-
FDP;9;1,4 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;9;1,3 %;-
Plus;10;1,5 %;-;3;0,4 %;-
BSW;-;-;-;165;24,6 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;4;0,6 %;-
WU;-;-;-;1;0,1 %;-
EB Gliese;47;7,1 %;-;-;-;-
