Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;741;-;-;741;-;-
Ungültige Stimmen;6;0,8 %;-;3;0,4 %;-
Gültige Stimmen;735;99,2 %;-;738;99,6 %;-
SPD;191;26,0 %;-;191;25,9 %;-
AfD;218;29,7 %;-;165;22,4 %;-
CDU;156;21,2 %;-;99;13,4 %;-
GRÜNE/B 90;19;2,6 %;-;17;2,3 %;-
DIE LINKE;48;6,5 %;-;31;4,2 %;-
BVB / FREIE WÄHLER;92;12,5 %;-;16;2,2 %;-
FDP;11;1,5 %;-;8;1,1 %;-
Tierschutzpartei;-;-;-;6;0,8 %;-
Plus;-;-;-;4;0,5 %;-
BSW;-;-;-;193;26,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;0,7 %;-
WU;-;-;-;3;0,4 %;-
