Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;681;-;-;681;-;-
Ungültige Stimmen;7;1,0 %;-;3;0,4 %;-
Gültige Stimmen;674;99,0 %;-;678;99,6 %;-
SPD;180;26,7 %;-;187;27,6 %;-
AfD;207;30,7 %;-;161;23,7 %;-
CDU;145;21,5 %;-;114;16,8 %;-
GRÜNE/B 90;14;2,1 %;-;16;2,4 %;-
DIE LINKE;77;11,4 %;-;27;4,0 %;-
BVB / FREIE WÄHLER;26;3,9 %;-;11;1,6 %;-
FDP;13;1,9 %;-;4;0,6 %;-
Tierschutzpartei;-;-;-;13;1,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;136;20,1 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,4 %;-
WU;-;-;-;5;0,7 %;-
EB Hoffmann;12;1,8 %;-;-;-;-
