Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;831;-;-;831;-;-
Ungültige Stimmen;29;3,5 %;-;3;0,4 %;-
Gültige Stimmen;802;96,5 %;-;828;99,6 %;-
SPD;296;36,9 %;-;290;35,0 %;-
AfD;-;-;-;158;19,1 %;-
CDU;159;19,8 %;-;109;13,2 %;-
GRÜNE/B 90;22;2,7 %;-;26;3,1 %;-
DIE LINKE;97;12,1 %;-;39;4,7 %;-
BVB / FREIE WÄHLER;63;7,9 %;-;18;2,2 %;-
FDP;9;1,1 %;-;6;0,7 %;-
Tierschutzpartei;-;-;-;24;2,9 %;-
Plus;-;-;-;10;1,2 %;-
BSW;-;-;-;144;17,4 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;0;0,0 %;-
EB Raue;156;19,5 %;-;-;-;-
