Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.005;-;-;1.005;-;-
Ungültige Stimmen;9;0,9 %;-;4.0;0,4 %;-
Gültige Stimmen;996;99,1 %;-;1.001;99,6 %;-
SPD;395;39,7 %;-;353.0;35,3 %;-
AfD;242;24,3 %;-;224.0;22,4 %;-
CDU;194;19,5 %;-;145.0;14,5 %;-
GRÜNE/B 90;10;1,0 %;-;20.0;2,0 %;-
DIE LINKE;56;5,6 %;-;35.0;3,5 %;-
BVB / FREIE WÄHLER;76;7,6 %;-;43.0;4,3 %;-
FDP;9;0,9 %;-;12.0;1,2 %;-
Tierschutzpartei;-;-;-;12.0;1,2 %;-
Plus;-;-;-;7.0;0,7 %;-
BSW;-;-;-;144.0;14,4 %;-
III. Weg;-;-;-;3.0;0,3 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;14;1,4 %;-;2.0;0,2 %;-
WU;-;-;-;1.0;0,1 %;-
