Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;779;-;-;779;-;-
Ungültige Stimmen;6;0,8 %;-;1;0,1 %;-
Gültige Stimmen;773;99,2 %;-;778;99,9 %;-
SPD;300;38,8 %;-;289;37,1 %;-
AfD;137;17,7 %;-;122;15,7 %;-
CDU;162;21,0 %;-;123;15,8 %;-
GRÜNE/B 90;41;5,3 %;-;34;4,4 %;-
DIE LINKE;32;4,1 %;-;23;3,0 %;-
BVB / FREIE WÄHLER;72;9,3 %;-;17;2,2 %;-
FDP;6;0,8 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;21;2,7 %;-
Plus;23;3,0 %;-;17;2,2 %;-
BSW;-;-;-;125;16,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,3 %;-
