Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;672;-;-;672;-;-
Ungültige Stimmen;7;1,0 %;-;0;0,0 %;-
Gültige Stimmen;665;99,0 %;-;672;100,0 %;-
SPD;180;27,1 %;-;186;27,7 %;-
AfD;156;23,5 %;-;149;22,2 %;-
CDU;110;16,5 %;-;94;14,0 %;-
GRÜNE/B 90;21;3,2 %;-;17;2,5 %;-
DIE LINKE;25;3,8 %;-;14;2,1 %;-
BVB / FREIE WÄHLER;95;14,3 %;-;22;3,3 %;-
FDP;46;6,9 %;-;3;0,4 %;-
Tierschutzpartei;-;-;-;21;3,1 %;-
Plus;-;-;-;7;1,0 %;-
BSW;-;-;-;134;19,9 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;32;4,8 %;-;22;3,3 %;-
WU;-;-;-;2;0,3 %;-
