Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;968;-;-;968;-;-
Ungültige Stimmen;4;0,4 %;-;2;0,2 %;-
Gültige Stimmen;964;99,6 %;-;966;99,8 %;-
SPD;357;37,0 %;-;346;35,8 %;-
AfD;99;10,3 %;-;90;9,3 %;-
CDU;205;21,3 %;-;184;19,0 %;-
GRÜNE/B 90;194;20,1 %;-;190;19,7 %;-
DIE LINKE;30;3,1 %;-;22;2,3 %;-
BVB / FREIE WÄHLER;42;4,4 %;-;9;0,9 %;-
FDP;25;2,6 %;-;12;1,2 %;-
Tierschutzpartei;-;-;-;17;1,8 %;-
Plus;12;1,2 %;-;11;1,1 %;-
BSW;-;-;-;79;8,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,3 %;-
WU;-;-;-;3;0,3 %;-
