Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;802;-;-;802;-;-
Ungültige Stimmen;6;0,7 %;-;3;0,4 %;-
Gültige Stimmen;796;99,3 %;-;799;99,6 %;-
SPD;153;19,2 %;-;216;27,0 %;-
AfD;135;17,0 %;-;128;16,0 %;-
CDU;117;14,7 %;-;90;11,3 %;-
GRÜNE/B 90;30;3,8 %;-;28;3,5 %;-
DIE LINKE;81;10,2 %;-;42;5,3 %;-
BVB / FREIE WÄHLER;267;33,5 %;-;112;14,0 %;-
FDP;6;0,8 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;12;1,5 %;-
Plus;-;-;-;9;1,1 %;-
BSW;-;-;-;156;19,5 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;1;0,1 %;-
dieBasis;2;0,3 %;-;-;-;-
EB Link;5;0,6 %;-;-;-;-
