Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;842;-;-;842;-;-
Ungültige Stimmen;8;1,0 %;-;3;0,4 %;-
Gültige Stimmen;834;99,0 %;-;839;99,6 %;-
SPD;314;37,6 %;-;269;32,1 %;-
AfD;159;19,1 %;-;132;15,7 %;-
CDU;190;22,8 %;-;161;19,2 %;-
GRÜNE/B 90;29;3,5 %;-;38;4,5 %;-
DIE LINKE;37;4,4 %;-;22;2,6 %;-
BVB / FREIE WÄHLER;73;8,8 %;-;22;2,6 %;-
FDP;11;1,3 %;-;12;1,4 %;-
Tierschutzpartei;-;-;-;13;1,5 %;-
Plus;21;2,5 %;-;16;1,9 %;-
BSW;-;-;-;151;18,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;1;0,1 %;-
